Time,IFACE,rxpck/s,txpck/s,rxkB/s,txkB/s,rxcmp/s,txcmp/s,rxmcst/s,%ifutil
2020-06-27 06:15:51,lo,1920.00,1920.00,61653.20,61653.20,0.00,0.00,0.00,0.00
2020-06-27 06:15:51,wlp3s0,3.00,0.00,0.50,0.00,0.00,0.00,0.00,0.00
2020-06-27 06:15:52,enp0s31f6,11621.00,4.00,16206.77,0.38,0.00,0.00,1.00,13.28
2020-06-27 06:15:52,lo,1920.00,1920.00,61653.20,61653.20,0.00,0.00,0.00,0.00
2020-06-27 06:15:52,wlp3s0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2020-06-27 06:15:53,enp0s31f6,11621.00,3.00,16206.77,0.27,0.00,0.00,1.00,13.28
2020-06-27 06:15:53,lo,1920.00,1920.00,61653.20,61653.20,0.00,0.00,0.00,0.00
2020-06-27 06:15:53,wlp3s0,2.00,2.00,0.21,0.30,0.00,0.00,0.00,0.00
2020-06-27 06:15:54,enp0s31f6,11621.00,6.00,16206.77,0.89,0.00,0.00,1.00,13.28
2020-06-27 06:15:54,lo,1922.00,1922.00,61653.38,61653.38,0.00,0.00,0.00,0.00
2020-06-27 06:15:54,wlp3s0,2.00,1.00,0.46,0.19,0.00,0.00,0.00,0.00
2020-06-27 06:15:55,enp0s31f6,11626.00,3.00,16214.18,0.27,0.00,0.00,1.00,13.28
2020-06-27 06:15:55,lo,1920.00,1920.00,61653.20,61653.20,0.00,0.00,0.00,0.00
2020-06-27 06:15:55,wlp3s0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2020-06-27 06:15:56,enp0s31f6,11616.00,4.00,16199.36,0.38,0.00,0.00,1.00,13.27
2020-06-27 06:15:56,lo,1920.00,1920.00,61653.20,61653.20,0.00,0.00,0.00,0.00
2020-06-27 06:15:56,wlp3s0,1.00,1.00,0.13,0.19,0.00,0.00,0.00,0.00
2020-06-27 06:15:57,enp0s31f6,11620.00,2.00,16206.68,0.18,0.00,0.00,0.00,13.28
