recv_stamp,msg_stamp
1592492611996086634,1592492611980232395
1592492612109262913,1592492612077916943
1592492612235783180,1592492612205996088
1592492612363443278,1592492612332635279
1592492612378044559,1592492612368566192
1592492612505519497,1592492612473960954
1592492612632039100,1592492612602897677
1592492612757642624,1592492612723968908
1592492612771495734,1592492612757537539
1592492612900045515,1592492612869346366
1592492613026381227,1592492612997479957
1592492613145150341,1592492613113032246
1592492613268757147,1592492613236534302
1592492613399537239,1592492613365446483
1592492613526316144,1592492613495092876
1592492613541666262,1592492613530223583
1592492613672590461,1592492613639677729
1592492613800040929,1592492613769352541
1592492613914862176,1592492613883418322
1592492613987359548,1592492613963866638
1592492614112807903,1592492614084163261
1592492614240145605,1592492614209905163
1592492614292647090,1592492614277824610
1592492614383881264,1592492614352147791
1592492614510790762,1592492614481021766
1592492614639140955,1592492614607644497
1592492614683940591,1592492614666893816
1592492614793144988,1592492614760808820
1592492614923136201,1592492614890452008
1592492615050189402,1592492615020122517
1592492615074292508,1592492615059880415
1592492615195456617,1592492615163921764
1592492615324194740,1592492615292834254
1592492615454408245,1592492615421730074
1592492615467048505,1592492615451899983
1592492615594380303,1592492615562305613
1592492615720783802,1592492615691207750
1592492615844383486,1592492615812352054
1592492615863428600,1592492615850587403
1592492615993871853,1592492615961573610
1592492616121508045,1592492616091190731
1592492616232228007,1592492616202128055
1592492616257192268,1592492616245040796
1592492616382993612,1592492616355264513
1592492616508041891,1592492616480257303
1592492616615858166,1592492616582654442
1592492616648804194,1592492616636458375
1592492616777234816,1592492616746687699
1592492616903514158,1592492616874819539
1592492617000082593,1592492616970097526
1592492617084365954,1592492617059915536
1592492617194146251,1592492617181052836
1592492617330650819,1592492617291993726
1592492617386494316,1592492617355346084
1592492617489650174,1592492617457675457
1592492617620262385,1592492617586591615
1592492617748078280,1592492617717868978
1592492617777298217,1592492617764695512
1592492617899400407,1592492617867001001
1592492618026918235,1592492617996765199
1592492618155722927,1592492618124035606
1592492618170582061,1592492618158436105
1592492618300690432,1592492618268630215
1592492618432105814,1592492618397534697
1592492618546864052,1592492618516314391
1592492618578093831,1592492618563874204
1592492618706125286,1592492618675663929
1592492618835949438,1592492618802946925
1592492618939509925,1592492618906077268
1592492618960062783,1592492618947506334
1592492619090465953,1592492619057653196
1592492619217615308,1592492619187314259
1592492619327606172,1592492619296762014
1592492619395895885,1592492619376362205
1592492619521062368,1592492619492820986
1592492619647787022,1592492619617872332
1592492619697703131,1592492619686540128
1592492619788130490,1592492619754581660
1592492619915806935,1592492619884992136
1592492620046287840,1592492620013154577
1592492620093069680,1592492620077874719
1592492620191239881,1592492620159227150
1592492620314836445,1592492620288116478
1592492620440842587,1592492620412329631
1592492620475816058,1592492620461597563
1592492620581760832,1592492620551470007
1592492620708081172,1592492620678828700
1592492620833802973,1592492620805327997
1592492620857241608,1592492620845097433
1592492620972807604,1592492620942846316
1592492621101029458,1592492621070169132
1592492621227332778,1592492621198350885
1592492621241103577,1592492621228757659
1592492621368949137,1592492621335879297
1592492621496051865,1592492621465542651
1592492621620615122,1592492621588155038
1592492621643323314,1592492621631831731
1592492621776634803,1592492621741327294
1592492621902395964,1592492621873353217
1592492622008062126,1592492621978856106
1592492622048108422,1592492622035787287
1592492622176198768,1592492622145957142
1592492622305113460,1592492622273362402
1592492622398953814,1592492622364803022
1592492622474488288,1592492622442029458
1592492622601865055,1592492622571835830
1592492622730413682,1592492622699091504
1592492622798999841,1592492622774036458
1592492622906789668,1592492622881103950
1592492623042399463,1592492623003871028
1592492623167084931,1592492623137435396
1592492623182133628,1592492623170196274
1592492623306329767,1592492623275687587
1592492623437372280,1592492623403847373
1592492623561754934,1592492623531146478
1592492623580926140,1592492623568657567
1592492623710366583,1592492623678880930
1592492623837280773,1592492623807785646
1592492623950498525,1592492623917059484
1592492624074678821,1592492624047556594
1592492624199352793,1592492624171813226
1592492624321506805,1592492624288935068
1592492624335603310,1592492624323277065
1592492624446380699,1592492624433539816
1592492624559988289,1592492624544459909
1592492624676633109,1592492624645994232
1592492624733864289,1592492624717029175
1592492624861354573,1592492624831152394
1592492624990090489,1592492624958554776
1592492625051497612,1592492625036656730
1592492625119451027,1592492625106901839
1592492625247024759,1592492625217097648
1592492625375601412,1592492625344497209
1592492625432995552,1592492625406866458
1592492625548634627,1592492625514778578
1592492625676444746,1592492625646007058
1592492625804534333,1592492625773409680
1592492625857139070,1592492625836649005
1592492625985007612,1592492625953895820
1592492626111891700,1592492626081913527
1592492626198274947,1592492626173325828
1592492626259542497,1592492626234300660
1592492626386893607,1592492626356948061
1592492626515671097,1592492626484307607
1592492626587070109,1592492626567107769
1592492626676936920,1592492626652238054
1592492626805023322,1592492626774151222
1592492626931441175,1592492626902330784
1592492626967848294,1592492626952994439
1592492627063643050,1592492627031180465
1592492627190954963,1592492627160950191
1592492627318714770,1592492627288217047
1592492627352535510,1592492627343606380
1592492627480811112,1592492627450806763
1592492627607941349,1592492627578033014
1592492627729208203,1592492627696874795
1592492627745863707,1592492627734293223
1592492627874731032,1592492627843783509
1592492628001873139,1592492627971843440
1592492628116186717,1592492628084343084
1592492628147242714,1592492628135051175
1592492628273138913,1592492628245263272
1592492628398144098,1592492628370245631
1592492628499982504,1592492628466367538
1592492628541011229,1592492628528878527
1592492628669964942,1592492628639005880
1592492628796960456,1592492628767153224
1592492628889232795,1592492628855419673
1592492628995576081,1592492628964004694
1592492629125212300,1592492629092964043
1592492629252241479,1592492629222618173
1592492629276070008,1592492629263956190
1592492629395627556,1592492629364000697
1592492629522264383,1592492629492925603
1592492629651155295,1592492629619500840
1592492629668863001,1592492629657805112
1592492629797012818,1592492629767191724
1592492629930192045,1592492629894550961
1592492630041279273,1592492630010893670
1592492630071267455,1592492630056938417
1592492630199768486,1592492630168826264
1592492630326373694,1592492630296911073
1592492630432118956,1592492630397678549
1592492630454876747,1592492630439855826
1592492630583991185,1592492630552371240
1592492630710972368,1592492630681237591
1592492630820730332,1592492630789909404
1592492630855045287,1592492630842881118
1592492630984482247,1592492630953129263
1592492631111705458,1592492631081213079
1592492631207621668,1592492631176536303
1592492631300542079,1592492631268736525
1592492631429318335,1592492631397693382
1592492631556228351,1592492631526603595
1592492631596813197,1592492631581957930
1592492631700163903,1592492631671074912
1592492631830306148,1592492631797697978
1592492631962038749,1592492631928124112
1592492631988724513,1592492631974218709
1592492632103655664,1592492632071081247
1592492632231446032,1592492632200881776
1592492632360682124,1592492632328871491
1592492632377242498,1592492632365584241
1592492632504241527,1592492632472704656
1592492632633925935,1592492632601618804
1592492632756045463,1592492632725840517
