Time,CPU,%user,%nice,%system,%iowait,%steal,%idle
2020-06-27 06:10:52,4,4.08,0.00,2.04,0.00,0.00,93.88
2020-06-27 06:10:52,5,13.00,0.00,10.00,0.00,0.00,77.00
2020-06-27 06:10:52,6,3.09,0.00,7.22,0.00,0.00,89.69
2020-06-27 06:10:52,7,0.00,0.00,0.00,0.00,0.00,100.00
2020-06-27 06:10:53,0,4.08,0.00,3.06,0.00,0.00,92.86
2020-06-27 06:10:53,1,1.01,0.00,1.01,0.00,0.00,97.98
2020-06-27 06:10:53,2,8.08,0.00,10.10,0.00,0.00,81.82
2020-06-27 06:10:53,3,5.10,0.00,5.10,0.00,0.00,89.80
2020-06-27 06:10:53,4,4.08,0.00,6.12,0.00,0.00,89.80
2020-06-27 06:10:53,5,5.00,0.00,2.00,0.00,0.00,93.00
2020-06-27 06:10:53,6,1.03,0.00,6.19,0.00,0.00,92.78
2020-06-27 06:10:53,7,2.00,0.00,1.00,0.00,0.00,97.00
2020-06-27 06:10:54,0,4.12,0.00,1.03,0.00,0.00,94.85
2020-06-27 06:10:54,1,3.03,0.00,2.02,0.00,0.00,94.95
2020-06-27 06:10:54,2,11.11,0.00,9.09,0.00,0.00,79.80
2020-06-27 06:10:54,3,4.04,0.00,2.02,0.00,0.00,93.94
2020-06-27 06:10:54,4,4.08,0.00,8.16,0.00,0.00,87.76
2020-06-27 06:10:54,5,4.08,0.00,0.00,0.00,0.00,95.92
2020-06-27 06:10:54,6,2.08,0.00,6.25,0.00,0.00,91.67
2020-06-27 06:10:54,7,6.19,0.00,5.15,0.00,0.00,88.66
2020-06-27 06:10:55,0,12.24,0.00,7.14,0.00,0.00,80.61
2020-06-27 06:10:55,1,1.03,0.00,2.06,0.00,0.00,96.91
2020-06-27 06:10:55,2,4.08,0.00,2.04,0.00,0.00,93.88
2020-06-27 06:10:55,3,3.03,0.00,2.02,0.00,0.00,94.95
2020-06-27 06:10:55,4,1.02,0.00,6.12,0.00,0.00,92.86
2020-06-27 06:10:55,5,4.04,0.00,1.01,0.00,0.00,94.95
2020-06-27 06:10:55,6,4.21,0.00,8.42,0.00,0.00,87.37
2020-06-27 06:10:55,7,7.14,0.00,5.10,0.00,0.00,87.76
2020-06-27 06:10:56,0,6.06,0.00,4.04,0.00,0.00,89.90
2020-06-27 06:10:56,1,2.02,0.00,2.02,0.00,0.00,95.96
2020-06-27 06:10:56,2,13.13,0.00,14.14,1.01,0.00,71.72
2020-06-27 06:10:56,3,4.04,0.00,0.00,1.01,0.00,94.95
2020-06-27 06:10:56,4,2.04,0.00,7.14,0.00,0.00,90.82
2020-06-27 06:10:56,5,2.02,0.00,1.01,0.00,0.00,96.97
