recv_stamp,msg_stamp
1588362948890216302,1588362948885150009
1588362948989863610,1588362948985308679
1588362949089599703,1588362949085115431
1588362949189522492,1588362949185105894
1588362949289502093,1588362949285102748
1588362949389818802,1588362949385046560
1588362949489626063,1588362949484938892
1588362949589672850,1588362949584753166
1588362949689433881,1588362949684719402
1588362949789180133,1588362949784667178
1588362949889041480,1588362949884563559
1588362949989508716,1588362949984811215
1588362950089079743,1588362950084600819
1588362950189308681,1588362950184821022
1588362950289414494,1588362950284900482
1588362950389373135,1588362950384902132
1588362950489582602,1588362950485027130
1588362950589361508,1588362950585005392
1588362950689884265,1588362950684946383
1588362950789555332,1588362950784903467
1588362950889644605,1588362950884994057
1588362950989664251,1588362950985029156
1588362951089511416,1588362951085113504
1588362951189611418,1588362951185116400
1588362951289673056,1588362951285147710
1588362951389641913,1588362951385080446
1588362951489649631,1588362951484996259
1588362951589583236,1588362951584903836
1588362951689456720,1588362951685029241
1588362951789345682,1588362951784900337
1588362951889621204,1588362951884914508
1588362951989333766,1588362951984812986
1588362952089305779,1588362952084831364
1588362952189247453,1588362952184837178
1588362952289319413,1588362952284864496
1588362952389350480,1588362952384871309
1588362952489557275,1588362952485001986
1588362952589256721,1588362952584883531
1588362952689549830,1588362952684916206
1588362952789363692,1588362952784888978
1588362952889717211,1588362952885129594
1588362952989873858,1588362952985241995
1588362953090006657,1588362953085292154
1588362953190063772,1588362953185252706
1588362953289765497,1588362953285053612
1588362953389388025,1588362953384900409
1588362953489282920,1588362953484877471
1588362953589769489,1588362953585146274
1588362953689529306,1588362953685092407
1588362953789703793,1588362953785154796
1588362953889757948,1588362953885084923
1588362953989552891,1588362953985030433
1588362954089458425,1588362954085043416
1588362954189597427,1588362954185093825
1588362954289419991,1588362954285011841
1588362954389425688,1588362954385006376
1588362954489445586,1588362954485011118
1588362954589508284,1588362954585032833
1588362954689580374,1588362954685100350
1588362954789599176,1588362954785075228
1588362954889592919,1588362954885036864
1588362954989679988,1588362954985023477
1588362955089435327,1588362955085013602
1588362955189689127,1588362955185016144
1588362955289517758,1588362955285004447
1588362955389271108,1588362955384864962
1588362955489238763,1588362955484850260
1588362955589274634,1588362955584821495
1588362955689240567,1588362955684880202
1588362955789728837,1588362955785135145
1588362955889679849,1588362955885231616
1588362955989670418,1588362955985193407
1588362956089585952,1588362956084890641
1588362956189636495,1588362956185015426
1588362956289433359,1588362956284717194
1588362956389103730,1588362956384624705
1588362956489392817,1588362956484618472
1588362956589121885,1588362956584662318
1588362956689418248,1588362956684810002
1588362956789591025,1588362956784888830
1588362956889861617,1588362956885189648
1588362956989880143,1588362956985340853
1588362957089988464,1588362957085358563
1588362957189769950,1588362957185175050
1588362957289755000,1588362957285214132
1588362957389483431,1588362957385024331
1588362957489515480,1588362957484940420
1588362957589653428,1588362957585009465
1588362957689762546,1588362957685009774
1588362957789609228,1588362957785009421
1588362957889304577,1588362957884794532
1588362957989577399,1588362957984900383
1588362958089535520,1588362958085011390
1588362958189574068,1588362958185080608
1588362958289862065,1588362958285109058
1588362958389700614,1588362958385192909
1588362958489643143,1588362958485125917
1588362958589703411,1588362958585156162
1588362958689746783,1588362958685136452
1588362958789692540,1588362958785175370
1588362958890030835,1588362958885203644
1588362958989902980,1588362958985161532
1588362959089865396,1588362959085207777
1588362959189680178,1588362959185188028
1588362959289625257,1588362959285111602
1588362959389744690,1588362959385126536
1588362959489696616,1588362959485180149
1588362959589632045,1588362959585092512
1588362959689739491,1588362959685021422
1588362959789488748,1588362959784936170
1588362959889510185,1588362959884914301
1588362959989425273,1588362959984940239
1588362960089541354,1588362960085054841
1588362960189602005,1588362960185166467
1588362960289974509,1588362960285432771
1588362960389871175,1588362960385422302
1588362960489979484,1588362960485350391
1588362960589737022,1588362960585309265
1588362960690243117,1588362960685617205
1588362960790096315,1588362960785590986
1588362960890104089,1588362960885649637
1588362960990274418,1588362960985612587
1588362961089893805,1588362961085462702
1588362961189830947,1588362961185182469
1588362961289575306,1588362961285006820
1588362961389421851,1588362961385022418
1588362961489074403,1588362961484683853
1588362961589467551,1588362961584733234
1588362961689300619,1588362961684812190
1588362961789740979,1588362961785195343
1588362961890071937,1588362961885460452
1588362961990391444,1588362961985655117
1588362962090531380,1588362962085791614
1588362962190070165,1588362962185550837
1588362962290027335,1588362962285432757
1588362962389834723,1588362962385155179
1588362962489584440,1588362962485080466
1588362962589651013,1588362962585033074
1588362962689595442,1588362962685147967
1588362962789746506,1588362962785028646
1588362962889742202,1588362962885096750
1588362962989746748,1588362962985211813
1588362963089865290,1588362963085188136
1588362963189842079,1588362963185182520
1588362963289809441,1588362963285175460
1588362963389549200,1588362963385109193
1588362963489806778,1588362963485114010
1588362963589695608,1588362963585106205
1588362963689661868,1588362963685086245
1588362963789793251,1588362963785166364
1588362963889631399,1588362963885142835
1588362963989943582,1588362963985376549
1588362964090062777,1588362964085512561
1588362964190466023,1588362964185651914
1588362964289817756,1588362964285344284
1588362964390245028,1588362964385510658
1588362964490152644,1588362964485540268
1588362964589807014,1588362964585315402
1588362964689909942,1588362964685335198
1588362964789930308,1588362964785324648
1588362964890080864,1588362964885282164
1588362964990055257,1588362964985543281
1588362965090375450,1588362965085658070
1588362965190283021,1588362965185763925
1588362965291093000,1588362965285950183
1588362965390147551,1588362965385739854
1588362965490351916,1588362965485669571
1588362965590244716,1588362965585518062
1588362965689932227,1588362965685341020
1588362965789547788,1588362965785121652
1588362965889426256,1588362965885110725
1588362965989823868,1588362965985144348
1588362966089828981,1588362966085342648
1588362966190077105,1588362966185503308
1588362966290047643,1588362966285614459
1588362966390580745,1588362966385624001
1588362966490152831,1588362966485499166
1588362966589607795,1588362966585124146
1588362966689465073,1588362966685021072
1588362966789393638,1588362966784919229
1588362966889458243,1588362966884925943
1588362966989806598,1588362966985066767
1588362967089878048,1588362967085136047
1588362967190045040,1588362967185544050
1588362967290421241,1588362967285790523
1588362967390794647,1588362967386134388
1588362967490374977,1588362967486009509
1588362967590433301,1588362967586041134
1588362967690228610,1588362967685604265
1588362967789555605,1588362967785121576
1588362967889580377,1588362967885016300
1588362967989538275,1588362967985036997
1588362968089899148,1588362968085005858
1588362968189603047,1588362968184848728
1588362968289498585,1588362968285023062
1588362968389683495,1588362968385003954
1588362968489753991,1588362968485015596
1588362968589486000,1588362968585037388
1588362968689713872,1588362968685093978
1588362968790016076,1588362968785096203
1588362968889588504,1588362968885118699
1588362968989904329,1588362968985177637
1588362969089854791,1588362969085325778
1588362969189869591,1588362969185459209
1588362969290227193,1588362969285473423
1588362969390036429,1588362969385328729
1588362969489856520,1588362969485358328
1588362969589581076,1588362969585017450
1588362969690070442,1588362969685129658
1588362969789637995,1588362969785008904
1588362969889604636,1588362969885108444
1588362969989919327,1588362969985156840
1588362970090278206,1588362970085431735
1588362970190129904,1588362970185555170
1588362970290273406,1588362970285637043
1588362970390154806,1588362970385579080
1588362970489820599,1588362970485280788
1588362970589588749,1588362970585135290
1588362970689654337,1588362970685185400
1588362970789698197,1588362970785004839
1588362970889654514,1588362970884875451
1588362970989664443,1588362970985020339
1588362971089745615,1588362971085028715
1588362971189396489,1588362971185039694
1588362971289676165,1588362971285254748
1588362971389758952,1588362971385097502
1588362971489826804,1588362971485162742
1588362971589672539,1588362971585033446
1588362971689784514,1588362971685088553
1588362971789536684,1588362971785173519
1588362971889679386,1588362971885146681
1588362971989608523,1588362971985122985
1588362972089639513,1588362972085161361
1588362972189544672,1588362972185026317
1588362972289635611,1588362972285017250
1588362972389591981,1588362972385027872
1588362972489585206,1588362972485003954
1588362972589513627,1588362972585035069
1588362972689411673,1588362972685013477
1588362972789644319,1588362972785007852
1588362972889475022,1588362972885018615
1588362972989432578,1588362972984846382
1588362973089357666,1588362973084821779
1588362973189455973,1588362973184848715
1588362973289498030,1588362973285036019
1588362973389772886,1588362973385322639
1588362973490269997,1588362973485605043
1588362973590209412,1588362973585747245
1588362973690144440,1588362973685702136
1588362973789976630,1588362973785479092
1588362973889661990,1588362973885075048
1588362973989443372,1588362973985036273
1588362974089411936,1588362974084833686
1588362974189599318,1588362974185016421
1588362974289579319,1588362974284890714
1588362974389385848,1588362974385037954
1588362974489578816,1588362974485028388
1588362974589657387,1588362974585036917
1588362974689575106,1588362974685026283
1588362974789832137,1588362974785145019
1588362974889345679,1588362974884839025
1588362974989387050,1588362974985041156
1588362975089425609,1588362975085030186
1588362975189551308,1588362975185036308
1588362975289672508,1588362975285021599
1588362975389772143,1588362975385109281
1588362975489596870,1588362975485108484
1588362975589839854,1588362975585143204
1588362975689672871,1588362975685111787
1588362975789521675,1588362975785090987
1588362975889496581,1588362975885028048
1588362975989349922,1588362975984900816
1588362976089660592,1588362976084998453
1588362976189419818,1588362976185027994
1588362976289598048,1588362976285090649
1588362976389638622,1588362976385022516
1588362976489749568,1588362976485086562
1588362976589588550,1588362976585092450
1588362976689640955,1588362976685014178
1588362976789495993,1588362976785123680
